signal_id,symbol,action,signal_time,entry_price,stop_loss,target1,target2,target3,status,outcome,hit_target1,hit_target2,hit_target3,hit_stop_loss,target1_time,target2_time,target3_time,stop_loss_time,target1_minutes,target2_minutes,target3_minutes,stop_loss_minutes,max_profit_pct,max_drawdown_pct,final_outcome
1420945994945790043,ALGO,LONG,2025-09-26 01:32:05.095000+00:00,0.2057,0.2048,0.2067,0.2092,0.2098,CLOSED,ONGOING,True,False,False,False,2025-09-26 01:46:00+00:00,,,,13.915083333333333,,,,0.5833738454059342,-0.09722897423432461,TARGET1
1420924076939280514,ARB,LONG,2025-09-26 00:04:59.435000+00:00,0.4078,0.403273,0.413669,0.416174,0.421195,CLOSED,ONGOING,True,False,False,False,2025-09-26 00:55:00+00:00,,,,50.00941666666667,,,,1.5203531142716977,-0.22069641981363708,TARGET1
1420708077862391879,AVAX,LONG,2025-09-25 09:46:41.242000+00:00,30.924,30.6859,31.246,31.4848,32.7814,CLOSED,ONGOING,False,False,False,True,,,,2025-09-25 11:18:00+00:00,,,,91.31263333333332,0.14875177855387198,-0.9507178890182398,STOP_LOSS
1420349564493500522,SOL,LONG,2025-09-24 10:02:04.994000+00:00,210.88,208.021,213.6097,215.5155,217.1026,CLOSED,ONGOING,True,False,False,False,2025-09-24 14:25:00+00:00,,,,262.91676666666666,,,,1.2993171471927205,-0.36039453717753744,TARGET1
1420319717884821564,BTC,LONG,2025-09-24 08:03:29.008000+00:00,112544.7,110929.67,114162.63,115804.1,119062.64,CLOSED,ONGOING,False,False,False,True,,,,2025-09-25 13:04:00+00:00,,,,1740.5165333333332,1.2397740631055953,-1.4954058254187004,STOP_LOSS
1420289651654004779,INJ,LONG,2025-09-24 06:04:00.660000+00:00,12.372,12.272258,12.474941,12.63531,12.907659,CLOSED,ONGOING,True,False,False,False,2025-09-24 11:12:00+00:00,,,,307.989,,,,0.8729388942774049,-0.5011315874555399,TARGET1
1420289647757627454,ADA,LONG,2025-09-24 06:03:59.731000+00:00,0.8133,0.8072,0.81941,0.83116,0.85311,CLOSED,ONGOING,True,False,False,False,2025-09-24 11:09:00+00:00,,,,305.0044833333333,,,,0.7746219107340431,-0.23361613180868224,TARGET1
1420289643957583922,BTC,LONG,2025-09-24 06:03:58.825000+00:00,112595.9,111538.96,113406.99,114629.16,118855.71,CLOSED,ONGOING,True,False,False,False,2025-09-24 14:47:00+00:00,,,,523.0195833333333,,,,0.7741400885822741,-0.1689937200199997,TARGET1
1419987182730346568,IMX,LONG,2025-09-23 10:02:06.449000+00:00,0.6787,0.6712,0.6856,0.7101,0.7172,CLOSED,ONGOING,True,False,False,False,2025-09-23 11:44:00+00:00,,,,101.89251666666668,,,,1.075585678503033,-0.2504788566376785,TARGET1
1419915406268698744,BTC,LONG,2025-09-23 05:16:53.607000+00:00,112587.1,112184.0,113073.21,113540.43,113948.8,CLOSED,ONGOING,True,False,False,False,2025-09-23 06:36:00+00:00,,,,79.10655,,,,0.45555840766836886,-0.008704371992886316,TARGET1
1419896806241730651,SUI,LONG,2025-09-23 04:02:59.015000+00:00,3.3679,3.3305,3.4243,3.4508,3.47,CLOSED,ONGOING,False,False,False,True,,,,2025-09-23 18:47:00+00:00,,,,884.0164166666667,1.523204370676086,-1.1401763710324002,STOP_LOSS
1419837040299741194,DASH,LONG,2025-09-23 00:05:29.704000+00:00,21.05,20.75,21.38,21.73,22.35,CLOSED,ONGOING,False,False,False,True,,,,2025-09-23 02:55:00+00:00,,,,169.50493333333333,0.23752969121140477,-1.425178147268412,STOP_LOSS
1419806018652606465,ATOM,LONG,2025-09-22 22:02:13.567000+00:00,4.159,4.104,4.24,4.302,4.416,CLOSED,ONGOING,False,False,False,True,,,,2025-09-23 03:02:00+00:00,,,,299.77388333333334,0.3366193796585774,-1.3464775186342883,STOP_LOSS
1419806014986780672,DOGE,LONG,2025-09-22 22:02:12.693000+00:00,0.24133,0.238651,0.244093,0.250203,0.254704,CLOSED,ONGOING,False,False,False,True,,,,2025-09-23 01:52:00+00:00,,,,229.78845,0.6878548046243826,-1.2182488708407566,STOP_LOSS
1419802197142536319,SAND,LONG,2025-09-22 21:47:02.448000+00:00,0.27153,0.27004,0.27324,0.2777,0.28203,CLOSED,ONGOING,True,False,False,False,2025-09-23 00:18:00+00:00,,,,150.95919999999998,,,,0.6886900158361812,-0.2688469045777661,TARGET1
1419802194592403527,SUI,LONG,2025-09-22 21:47:01.840000+00:00,3.36,3.3415,3.3791,3.4911,3.53,CLOSED,ONGOING,True,False,False,False,2025-09-23 00:16:00+00:00,,,,148.96933333333334,,,,0.5803571428571517,-0.18452380952380243,TARGET1
1419802191748792513,DOGE,LONG,2025-09-22 21:47:01.162000+00:00,0.24067,0.239026,0.242631,0.249887,0.253639,CLOSED,ONGOING,True,False,False,False,2025-09-23 00:16:00+00:00,,,,148.98063333333332,,,,0.9473552997880934,-0.40304150912037173,TARGET1
1419791160372760647,BTC,LONG,2025-09-22 21:03:11.077000+00:00,112732.1,112194.82,113329.42,114113.9,114674.35,CLOSED,ONGOING,False,False,False,True,,,,2025-09-23 01:51:00+00:00,,,,287.81538333333333,0.21103128567639046,-0.4898249921717082,STOP_LOSS
1419791157524959332,SOL,LONG,2025-09-22 21:03:10.398000+00:00,219.35,217.09,222.0135,224.7376,229.936,CLOSED,ONGOING,False,False,False,True,,,,2025-09-23 01:54:00+00:00,,,,290.82669999999996,0.9391383633462513,-1.0303168452245228,STOP_LOSS
1419791152923807795,ADA,LONG,2025-09-22 21:03:09.301000+00:00,0.8222,0.81768,0.82747,0.83357,0.85043,CLOSED,ONGOING,True,False,False,False,2025-09-22 21:58:00+00:00,,,,54.84498333333333,,,,0.6567745074191146,-0.23108732668450654,TARGET1
1419791150490849380,BNB,LONG,2025-09-22 21:03:08.721000+00:00,988.36,980.75,997.282,1001.556,1051.839,CLOSED,ONGOING,True,False,False,False,2025-09-22 21:43:00+00:00,,,,39.85465,,,,0.9429762434740313,-0.4128050507912138,TARGET1
